X,Y,Result,Player,Quarter,Video_URL
719,208,Missed,NTILIKINA,1st Quarter, https://drive.google.com/file/d/19Nhv-IrtRWo2h8_2vmKbtyTntG0mnKPd/view?usp=share_link
522,271,Missed,NTILIKINA,1st Quarter,https://drive.google.com/file/d/1aEYN8EgI-0i3Eur_jeiRHYKoLYa06h1p/view?usp=share_link
698,408,Missed,NTILIKINA,1st Quarter,https://drive.google.com/file/d/111g41xgl9WFS9UvR49E_mdAz9uKnjsKb/view?usp=share_link
716,218,Made,BATUM,1st Quarter,https://drive.google.com/file/d/1TfBQ33Oxn7ukXxcCXiNtGsVFbeFBRc5J/view?usp=share_link
672,39,Missed,BATUM,1st Quarter,https://drive.google.com/file/d/1hpk82Nqk7kibP7GdgA5l0JcYT0UfvyS3/view?usp=share_link
721,255,Missed,YABUSELE,1st Quarter,https://drive.google.com/file/d/1dPTSWx8PMweoZuwSnoDq3kHNstilRfbZ/view?usp=sharing
634,396,Missed,YABUSELE,1st Quarter,https://drive.google.com/file/d/1lmNPT-HVMuIOsTBBRgC4W-w1Ye52nZm9/view?usp=sharing
713,190,Made,YABUSELE,1st Quarter,https://drive.google.com/file/d/1mKHJ_XVBgSDPYN_U7zi8bywktaw5_soh/view?usp=sharing
743,253,Missed,CORDINIER,1st Quarter,https://drive.google.com/file/d/1hJrejtMEg_yKjHCspo4kHcOn95kbXtPp/view?usp=sharing
667,297,Missed,CORDINIER,1st Quarter,https://drive.google.com/file/d/1v6KTfMbCwJP-8IH-8QzubfD9-B7Z-FHD/view?usp=sharing
455,53,Missed,FOURNIER,1st Quarter,https://drive.google.com/file/d/1IFjz9k_21ahIsgpXzT8DjT4JgPjMUpRr/view?usp=sharing
632,53,Missed,FOURNIER,1st Quarter,https://drive.google.com/file/d/1gMqx7N2hSVsuFfP1jpzfK14S2-VG_1DV/view?usp=sharing
737,191,Made,RUDY,1st Quarter,https://drive.google.com/file/d/1hORHQG3tH5T8nZM2T0pVuX2PiY2aVIrt/view?usp=sharing
535,100,Made,WEMBY,1st Quarter,https://drive.google.com/file/d/1LFYrI04RBbKL-DRERnJ6NPkckk1hyn6l/view?usp=sharing
699,197,Made,WEMBY,1st Quarter,https://drive.google.com/file/d/1JXC82DsskV1PVaxhxxSb8jbsCXoqiwV5/view?usp=sharing
700,212,Made,WEMBY,1st Quarter,https://drive.google.com/file/d/1JXC82DsskV1PVaxhxxSb8jbsCXoqiwV5/view?usp=sharing
698,231,Missed,WEMBY,1st Quarter,https://drive.google.com/file/d/128YGrmnFRmd2T7Fnabs8TdNtjVQkG6Jq/view?usp=sharing
503,228,Missed,WEMBY,1st Quarter,https://drive.google.com/file/d/1miMoq8uAZgvYnnC2oXRvdl7FOJLzxw6u/view?usp=sharing	
527,167,Missed,WEMBY,1st Quarter,https://drive.google.com/file/d/1DFolEwsSBxV61tNfDzxBY-S2jTFP6nUv/view?usp=sharing
