X,Y,Result,Player,Quarter,Video_URL
306,139,Missed,CURRY,1st Quarter,https://drive.google.com/file/d/1B2LCjc73Oj-2eeGQ3lGXjKe1PekuexWI/view?usp=share_link
303,187,Missed,CURRY,1st Quarter,https://drive.google.com/file/d/1u38d2pqnKYvvx1WdkLNrx5yAo_48IRS5/view?usp=sharing
259,119,Missed,CURRY,1st Quarter,https://drive.google.com/file/d/1AFla-jDgO8tR4a2bIGC59a6mMSQieADl/view?usp=sharing
145,296,Missed,EDWARDS,1st Quarter,https://drive.google.com/file/d/1-cw6tA6sCN7NMeZOG5atacR6Ve8kkDny/view?usp=sharing
183,53,Made,EDWARDS,1st Quarter,https://drive.google.com/file/d/1RXz7aMWcjxjE8nBnMd3Qj-bbLpKPdwHC/view?usp=sharing
250,352,Missed,EDWARDS,1st Quarter,https://drive.google.com/file/d/1PIGRVWUw2SyO_kkwmMU5dKZdN5oQtKq8/view?usp=sharing
115,37,Made,EDWARDS,1st Quarter,https://drive.google.com/file/d/18eLb7j0O86Ovj3RDNyKX-wc33PnJfmT2/view?usp=sharing
79,246,Made,JAMES,1st Quarter,https://drive.google.com/file/d/1lWXlvx-HAkUSGM00FxL3Ccqio7BvEJtk/view?usp=sharing
108,265,Missed,JAMES,1st Quarter,https://drive.google.com/file/d/1RBWXgQ3ZBHtcWirZr_CiU_9kPj-sOfum/view?usp=sharing
135,39,Missed,DURANT,1st Quarter,https://drive.google.com/file/d/1pkEu4dqURPgo0UPYUmIW3jfve10ar4pZ/view?usp=sharing
266,296,Made,DURANT,1st Quarter,https://drive.google.com/file/d/1cI2575eYAA6YRL0u0UdAPq9kgUJKohAq/view?usp=sharing
268,310,Missed,DURANT,1st Quarter,https://drive.google.com/file/d/1eFui2CTyWKG6dpdd0NehCGtTPvfEyXGS/view?usp=sharing
72,197,Made,TATUM,1st Quarter,https://drive.google.com/file/d/1XAWpCGKI-hjXhRkSmzYKoDZNEC_pwwcH/view?usp=sharing
63,410,Missed,TATUM,1st Quarter,https://drive.google.com/file/d/1kh2QT3HnLuu-2LBrofSclkF3pM0XeTat/view?usp=sharing
161,168,Missed,EMBIID,1st Quarter,https://drive.google.com/file/d/1PI-xQdX6w8jWtugi_mYxMMV-hw6ZQbnO/view?usp=sharing
87,225,Missed,DAVIS,1st Quarter,https://drive.google.com/file/d/12Ip1HieVvTF_81YY65FqRiVFOyku34gJ/view?usp=sharing
142,403,Made,BOOKER,1st Quarter,https://drive.google.com/file/d/1udBAHRA6CP9gwEk9KWORln_h1-EbfikO/view?usp=sharing
81,204,Made,BOOKER,1st Quarter,https://drive.google.com/file/d/1dhFC-atjf1DDjhhkoxYkUzisXXAzwqEV/view?usp=sharing
51,200,Made,BOOKER,1st Quarter,https://drive.google.com/file/d/1yRNjTooAI4khKiSZVKw1KPfagp2tXijs/view?usp=sharing
